年份,編號,中文名稱,英文名稱,侵臺路徑分類,警報期間,近臺強度,生命期近中心最低氣壓(hPa),近臺近中心最大風速(m/s),近臺7級風暴風半徑,近臺10級風暴風半徑,警報發布報數
1985,198519,白蘭黛,BRENDA,6,"1985-10-02 16:05
1985-10-05 04:00",中度,964,45,300,150,11
1985,198516,衛奧,VAL,5,"1985-09-15 16:00
1985-09-17 21:15",輕度,992,25,150,---,11
1985,198515,蒂絲,TESS,---,"1985-09-03 16:00
1985-09-05 04:00",中度,967,33,200,50,7
1985,198512,派特,PAT,---,"1985-08-27 15:30
1985-08-30 09:40",中度,961,35,250,100,12
1985,198510,尼爾森,NELSON,1,"1985-08-20 15:30
1985-08-24 04:35",中度,961,48,300,120,15
1985,198506,傑夫,JEFF,1,"1985-07-28 09:00
1985-07-30 20:50",中度,967,35,200,80,11
1985,198504,海爾,HAL,5,"1985-06-21 09:50
1985-06-24 04:00",中度,955,48,350,250,12
1984,198425,比爾,BILL,---,"1984-11-17 15:00
1984-11-18 21:00",強烈,910,51,200,100,6
1984,198412,裘恩,JUNE,5,"1984-08-28 16:10
1984-08-31 04:00",輕度,983,32,250,---,11
1984,198410,郝麗,HOLLY,6,"1984-08-17 15:00
1984-08-19 21:30",中度,964,35,350,200,10
1984,198409,傑魯得,GERALD,---,"1984-08-16 15:00
1984-08-19 09:50",輕度,985,28,180,---,12
1984,198408,芙瑞達,FREDA,2,"1984-08-06 15:10
1984-08-08 09:40",輕度,982,25,200,---,8
1984,198403,亞力士,ALEX,6,"1984-07-02 21:00
1984-07-04 09:00",中度,980,35,150,80,8
1984,198402,魏恩,WYNNE,4,"1984-06-21 14:45
1984-06-24 14:25",輕度,982,28,150,---,13
1983,198310,佛瑞特,FORREST,---,"1983-09-23 21:10
1983-09-27 04:30",強烈,883,65,400,200,14
1983,198309,艾倫,ELLEN,5,"1983-09-05 21:00
1983-09-08 09:10",強烈,928,63,250,120,11
1983,198305,艾貝,ABBY,---,"1983-08-09 16:00
1983-08-13 04:30",強烈,888,67,400,200,15
1983,198304,韋恩,WAYNE,5,"1983-07-23 15:30
1983-07-25 20:50",強烈,920,63,250,120,10
1982,198223,南施,NANCY,---,"1982-10-14 08:50
1982-10-15 14:40",強烈,933,58,200,100,6
1982,198220,肯恩,KEN,---,"1982-09-18 15:20
1982-09-22 20:10",強烈,936,55,250,120,18
1982,198215,費依,FAYE,---,"1982-08-26 03:15
1982-08-27 08:55",輕度,961,25,100,---,6
1982,198213,黛特,DOT,4,"1982-08-13 09:40
1982-08-15 20:30",中度,966,33,200,100,11
1982,198212,西仕,CECIL,6,"1982-08-06 10:10
1982-08-10 21:30",強烈,920,55,220,140,20
1982,198210,安迪,ANDY,4,"1982-07-26 15:40
1982-07-30 09:10",強烈,915,60,300,100,16
1982,198207,蒂絲,TESS,---,"1982-07-01 15:30
1982-07-02 09:20",輕度,990,18,100,---,4
1981,198125,伊瑪,IRMA,---,"1981-11-25 09:45
1981-11-26 21:15",輕度,902,28,200,---,7
1981,198123,蓋依,GAY,---,"1981-10-20 14:00
1981-10-21 09:00",中度,947,45,300,100,4
1981,198119,葛萊拉,CLARA,5,"1981-09-19 09:45
1981-09-22 04:00",強烈,924,58,250,100,12
1981,198117,艾妮絲,AGNES,1,"1981-08-29 16:00
1981-08-31 15:00",中度,947,47,300,120,9
1981,198108,莫瑞,MAURY,1,"1981-07-18 15:50
1981-07-20 08:15",輕度,985,30,180,30,8
1981,198105,裘恩,JUNE,6,"1981-06-18 15:10
1981-06-21 10:00",中度,965,38,250,60,12
1981,198104,艾克,IKE,9,"1981-06-12 15:00
1981-06-14 04:45",輕度,967,30,150,30,8
1980,198021,貝蒂,BETTY,---,"1980-11-06 04:40
1980-11-07 04:00",輕度,928,23,150,---,5
1980,198019,魏恩,WYNNE,---,"1980-10-10 15:30
1980-10-13 04:00",強烈,890,65,300,100,11
1980,198014,珀西,PERCY,4,"1980-09-15 15:00
1980-09-19 03:00",強烈,919,60,250,100,15
1980,198012,諾瑞斯,NORRIS,2,"1980-08-26 15:30
1980-08-28 14:30",中度,950,43,250,60,9
1980,198009,開梅,KIM,---,"1980-07-25 10:00
1980-07-27 14:30",中度,908,45,250,100,10
