"","全國實徵淨額日曆年別－按稅目別分"
"","<b>總計</b> ","<b>稅課收入</b> ","關稅 ","所得稅小計 ","營利事業所得稅 ","綜合所得稅 ","遺產及贈與稅 ","遺產稅 ","贈與稅 ","貨物稅 ","證券交易稅 ","期貨交易稅 ","菸酒稅 ","特種貨物及勞務稅 ","營業稅 ","礦區稅 ","土地稅小計 ","田賦 ","地價稅 ","土地增值稅 ","房屋稅 ","使用牌照稅 ","契稅 ","印花稅 ","娛樂稅 ","特別及臨時稅課 ","商港建設費 ","屠宰稅 ","筵席稅 ","教育捐 ","鹽稅 ","防衛捐及臨時稅 ","戶稅 ","<b>公賣利益-應繳庫數</b> ","<b>金融業營業稅</b> "
"76年 12月"," 47,670,153"," 43,892,687","  7,335,852"," 13,848,274","  9,688,637","  4,159,637","    707,009","    466,084","    240,925","  5,166,316","    766,291","          －","          －","          －","  6,095,692","      7,486","  7,627,671","      2,329","    536,798","  7,088,544","     91,344","     55,998","    673,295","    279,576","     49,391","          －","  1,040,516","     -1,154","          －","    149,130","          －","          －","          －","  3,777,466","          －"
"77年","617,889,017","569,786,995"," 82,023,188","140,774,603"," 71,580,038"," 69,194,565","  4,668,148","  3,969,922","    698,226"," 72,254,057"," 23,959,867","          －","          －","          －"," 70,335,622","     15,373","113,207,631","     20,659"," 25,570,563"," 87,616,409"," 21,135,528"," 11,938,456","  8,554,779","  3,119,593","    626,154","          －"," 12,819,353","        160","          －","  4,354,483","          －","          －","          －"," 48,102,022","          －"
"77年 1月"," 47,439,185"," 43,659,863","  5,954,833"," 11,466,216","  5,732,234","  5,733,982","    254,195","    207,574","     46,621","  4,496,705","    686,089","          －","          －","          －","  6,793,561","        115"," 11,514,911","      2,221","  5,767,756","  5,744,934","    152,668","    401,693","    583,702","    259,052","     49,705","          －","    891,488","         -2","          －","    154,932","          －","          －","          －","  3,779,322","          －"
"77年 2月"," 39,887,009"," 36,090,755","  6,744,793","  5,462,431","    718,174","  4,744,257","    230,189","    193,733","     36,456","  5,356,652","    921,774","          －","          －","          －","  6,024,996","        157","  9,008,237","      2,724","  4,307,456","  4,698,057","     55,799","    334,720","    507,099","    216,983","     47,610","          －","  1,068,601","          5","          －","    110,709","          －","          －","          －","  3,796,254","          －"
"77年 3月"," 56,326,657"," 52,848,127","  6,927,348"," 24,006,948","  9,970,781"," 14,036,167","    348,092","    299,339","     48,753","  5,617,169","  1,169,107","          －","          －","          －","  5,108,505","        117","  6,922,194","      1,994","    395,113","  6,525,087","     72,788","    569,195","    691,775","    249,853","     61,559","          －","    961,673","          －","          －","    141,804","          －","          －","          －","  3,478,530","          －"
"77年 4月"," 54,293,223"," 50,553,198","  6,254,244"," 14,864,783","  4,775,664"," 10,089,119","    367,039","    324,754","     42,285","  5,713,538","  1,362,876","          －","          －","          －","  6,548,837","        257","  5,945,786","      1,262","    115,115","  5,829,409","     99,865","  7,257,651","    763,857","    245,210","     56,756","          －","    910,584","          1","          －","    161,914","          －","          －","          －","  3,740,025","          －"
"77年 5月"," 68,443,186"," 64,640,232","  6,554,949"," 14,493,878","  9,753,979","  4,739,899","    435,990","    390,348","     45,642","  6,647,238","  1,965,832","          －","          －","          －","  6,882,635","        735","  6,258,208","      1,656","    117,836","  6,138,716"," 15,545,809","  1,804,303","    758,375","    286,435","     59,996","          －","  1,042,805","          1","          －","  1,903,043","          －","          －","          －","  3,802,954","          －"
"77年 6月"," 51,763,753"," 46,616,274","  6,740,095","  6,737,728","  2,317,787","  4,419,941","    714,072","    663,629","     50,443","  7,611,786","  2,072,676","          －","          －","          －","  6,442,937","      8,356","  8,462,899","      1,951","    177,793","  8,283,155","  4,362,257","    270,140","    857,869","    359,282","     69,931","          －","  1,037,365","          －","          －","    868,881","          －","          －","          －","  5,147,479","          －"
"77年 7月"," 53,985,521"," 49,889,049","  6,805,942"," 14,051,921"," 10,177,339","  3,874,582","    328,685","    258,084","     70,601","  6,009,592","  1,808,368","          －","          －","          －","  7,580,691","        248"," 10,386,360","      2,861","    129,201"," 10,254,298","    241,401","    215,441","    874,890","    213,309","     48,060","          －","  1,120,493","          －","          －","    203,648","          －","          －","          －","  4,096,472","          －"
"77年 8月"," 41,884,497"," 37,748,032","  7,148,424","  8,899,821","  5,209,030","  3,690,791","    512,677","    422,929","     89,748","  6,936,053","  2,942,515","          －","          －","          －"," -2,191,131","        285"," 10,618,138","      1,571","     74,265"," 10,542,302","    183,517","    197,492","    768,010","    292,746","     64,251","          －","  1,190,772","          －","          －","    184,462","          －","          －","          －","  4,136,465","          －"
"77年 9月"," 62,177,063"," 57,965,231","  6,446,315"," 16,239,429"," 12,973,706","  3,265,723","    375,623","    301,359","     74,264","  5,623,104","  3,464,030","          －","          －","          －"," 16,528,359","         33","  6,880,769","      1,152","     63,625","  6,815,992","     97,390","    152,276","    624,154","    277,091","     56,280","          －","  1,055,877","          －","          －","    144,501","          －","          －","          －","  4,211,832","          －"
"77年 10月"," 28,959,563"," 24,867,185","  7,333,924","  5,337,749","    737,995","  4,599,754","    274,732","    211,098","     63,634","  5,771,651","    712,200","          －","          －","          －"," -3,560,216","        288","  6,425,916","        869","     49,048","  6,375,999","     85,900","    295,797","    702,007","    157,112","     38,341","          －","  1,137,295","          9","          －","    154,480","          －","          －","          －","  4,092,378","          －"
"77年 11月"," 54,841,939"," 51,000,817","  7,327,274","  5,277,432","    826,655","  4,450,777","    416,675","    350,286","     66,389","  6,099,927","  4,123,729","          －","          －","          －"," 16,987,974","        401","  7,779,438","      1,291","  1,066,780","  6,711,367","    131,944","    372,218","    669,926","    413,105","     37,230","          －","  1,203,399","        146","          －","    159,999","          －","          －","          －","  3,841,122","          －"
"77年 12月"," 57,887,421"," 53,908,232","  7,785,047"," 13,936,267","  8,386,694","  5,549,573","    410,179","    346,789","     63,390","  6,370,642","  2,730,671","          －","          －","          －"," -2,811,526","      4,381"," 23,004,775","      1,107"," 13,306,575","  9,697,093","    106,190","     67,530","    753,115","    149,415","     36,435","          －","  1,199,001","          －","          －","    166,110","          －","          －","          －","  3,979,189","          －"
"78年","736,718,076","687,827,800"," 87,060,967","179,131,555"," 91,543,550"," 87,588,005","  6,128,566","  4,822,101","  1,306,465"," 82,569,098"," 38,650,725","          －","          －","          －"," 99,456,058","     17,852","127,508,812","     12,676"," 21,708,078","105,788,058"," 22,531,475"," 14,320,870","  8,248,974","  3,512,145","    481,497","          －"," 13,734,187","          －","          －","  4,475,019","          －","          －","          －"," 48,890,276","          －"
